,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
static_data__item__reviewed_work__languages__@count,,TINYINT UNSIGNED,1,0.10110229449243638,1,1,,,1,2,0.8988977055075636,0.3342555450065521,False,254,3.908845717859516e-05,0.01,False
static_data__item__reviewed_work__languages__language,,VARCHAR(16),English,0.10110229449243638,5,10,,,English,11,0.8988977055075636,0.36385609052558626,False,15,0.0002149865144822734,0.01,False
static_data__item__reviewed_work__rw_year,,SMALLINT UNSIGNED,1943,0.08689364030801704,1812,1954,,,1944,16,0.913106359691983,0.45105557941574753,False,65534,0.0003127076574287613,0.01,False
static_data__fullrecord_metadata__references__reference__citedAuthor,,VARCHAR(64),"Borst, LB",0.14656217019114257,2,26,,,GLUECK S,5481,0.8534378298088574,2.1866045532486336,False,39,0.10712191689794004,0.01,False
static_data__fullrecord_metadata__references__reference__page,,VARCHAR(32),659,0.0541375131923543,1,12,,,1,976,0.9458624868076457,0.7442405141349565,False,18,0.019075167103154437,0.01,False
static_data__fullrecord_metadata__references__reference__volume,,VARCHAR(8),57,0.05097134816088809,1,4,,,1,235,0.9490286518391119,0.5647385914394832,False,6,0.004592893718484931,0.01,False
static_data__fullrecord_metadata__references__reference__citedTitle,,TEXT,Search for a neutron-deuteron reaction,0.020540984247351755,10,260,,,SHALL WE NATIONALIZE MEDICINE,1005,0.9794590157526483,0.3193051285190396,False,390,0.01964194973224407,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__@addr_no,,TINYINT UNSIGNED,1,0.0290818121408748,1,1,,,1,2,0.9709181878591252,0.14842597941753571,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__full_address,,TEXT,"Natl Univ Chekiang, Dept Phys, Meitan, Kweichow, PEOPLES R CHINA",0.0290818121408748,21,105,,,"Univ Calif, Berkeley, CA USA",1137,0.9709181878591252,0.43601435706678776,False,157,0.02222178790603135,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__organizations__@count,,TINYINT UNSIGNED,1,0.0290818121408748,1,7,,,1,8,0.9709181878591252,0.19483343575703166,False,254,0.00015635382871438065,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__organizations__organization,,VARCHAR(64),Natl Univ Chekiang,0.017023023101278192,3,41,,,WLA Union Catalog,653,0.9829769768987218,0.25469784724993394,False,61,0.01276238126881132,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__suborganizations__@count,,TINYINT UNSIGNED,1,0.008540827893523043,1,3,,,1,4,0.9914591721064769,0.06465924895390981,False,254,7.817691435719032e-05,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__suborganizations__suborganization,,TEXT,Dept Phys,0.0072509088066294025,4,49,,,Dept Psychol,234,0.9927490911933706,0.1025879205386831,False,73,0.004573349489895634,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__city,,VARCHAR(64),Meitan,0.0290818121408748,4,23,,,Washington,426,0.9709181878591252,0.36128110783790934,False,34,0.00832584137904077,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__state,,VARCHAR(16),Kweichow,0.028163233397177814,2,10,,,NY,63,0.9718367666028221,0.2729206936434103,False,15,0.0012312864011257475,0.01,False
static_data__fullrecord_metadata__addresses__address_name__address_spec__country,,VARCHAR(32),PEOPLES R CHINA,0.0290818121408748,3,15,,,USA,24,0.9709181878591252,0.162332227188314,False,22,0.0004690614861431419,0.01,False
static_data__fullrecord_metadata__reprint_addresses__@count,,TINYINT UNSIGNED,1,0.00011726537153578548,1,1,,,1,2,0.9998827346284642,0.0015312436380961543,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__reprint_addresses__address_name__address_spec__@addr_no,,TINYINT UNSIGNED,1,0.00011726537153578548,1,1,,,1,2,0.9998827346284642,0.0015312436380961543,False,254,3.908845717859516e-05,0.01,False
